Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,Sektor,Akt. Kurs [€]
BAYN.DE,BAYER AG,BAYN.DE,46.12,EUR,-0.1,38.88,0.0,Seitwärts,0.0,0.0,94.5,1.1,Zyklus-Tief,-0.57,133.457,24.0,5172499968.0,77877329920.0,45866000384.0,6.64,-3.1,-0.43,-3.53,1.136,53.32,"[0.0, 0.0, 0.0, 98.92, 17.03]",9.655784,Pharma & Gesundheit,46.74
BTC-USD,BITCOIN (KRYPTO),BTC-EUR,56749.62,EUR,-1.93,17.48,0.0,Seitwärts,0.0,0.0,22.4,38.8,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 61.24, 25.0]",0.0,Kryptowährungen 🪙,88616.28
US8522341036,BLOCK INC. A,US8522341036,54.15,USD,-5.49,53.13,0.0,Seitwärts,0.0,0.0,35.6,20.8,Zyklus-neutral,14.69,36.049,0.0,241061248.0,34101551104.0,23973765120.0,0.71,2.3,13.08,15.38,2.183,81.96,"[4.6, 29.38, 0.0, 79.24, 44.71]",16.763502,Fintech,64.75
CCJ,CAMECO CORP.,CCJ,119.57,USD,1.25,16.21,0.0,Seitwärts,0.0,0.0,82.9,26.1,Zyklus-neutral,8.1,14.854,15.0,787334656.0,51645775872.0,3464176128.0,1.52,-14.7,15.18,0.48,2.991,70.33,"[0.0, 16.2, 0.0, 73.93, 0.0]",83.55671,Energie,125.9
US1344291091,CAMPBELLS CO.,US1344291091,29.12,USD,-0.1,36.6,0.0,Seitwärts,0.0,0.0,37.2,94.9,Zyklus-Hoch,14.82,184.567,535.0,630499968.0,15831613440.0,10158000128.0,3.98,-3.4,5.69,2.29,0.819,65.55,"[0.0, 29.64, 0.0, 5.06, 23.55]",11.266603,Konsum & Lifestyle,27.25
US15135B1017,CENTENE CORP.,US15135B1017,40.45,USD,2.12,33.06,0.0,Seitwärts,0.0,0.0,64.5,26.7,Zyklus-neutral,-28.68,86.762,0.0,5197749760.0,16662495232.0,176151003136.0,31.19,23.1,-3.79,19.31,1.1,97.22,"[46.2, 0.0, 0.0, 73.3, 25.04]",10.000593,Pharma & Gesundheit,41.68
CGNX,COGNEX CORP.,CGNX,42.51,USD,-2.47,83.95,1.43,BUY,42.33,48.59,71.7,73.5,Zyklus-neutral,7.21,5.298,78.0,180942256.0,7082582016.0,971705024.0,2.55,18.0,11.33,29.33,3.964,100.98,"[36.0, 14.42, 0.0, 46.48, 12.72]",37.602066,Hardware 💻,39.72
US19260Q1076,COINBASE GLB.,US19260Q1076,152.7,USD,-6.04,54.19,0.0,Seitwärts,0.0,0.0,9.5,28.2,Zyklus-neutral,26.0,48.559,0.0,-1097911808.0,41830793216.0,7370428928.0,-2.62,58.9,43.66,102.56,2.404,66.9,"[100.0, 52.0, 0.0, 71.8, 70.53]",23.743547,Krypto-Infrastruktur 🪙,211.68
CNE100006WS8,CONT.AMPEREX (CATL),CNE100006WS8,507.0,HKD,-0.78,53.44,0.0,Seitwärts,0.0,0.0,42.4,81.2,Zyklus-Hoch,22.14,37.135,22.0,48903442432.0,2092220153856.0,386039808000.0,2.34,12.9,16.52,29.42,1.684,57.26,"[25.8, 44.28, 0.0, 18.8, 23.97]",23.228323,Energie,467.0
DE0005140008,DEUTSCHE BANK,DB1.DE,203.3,EUR,-3.05,56.73,0.0,Seitwärts,0.0,0.0,40.7,8.0,Zyklus-Tief,19.48,54.664,191.0,0.0,1.0,7302400000.0,0.0,4.2,27.59,31.79,1.009,65.41,"[8.4, 38.96, 0.0, 91.96, 30.23]",17.32259,Finanzen,33.53
CA2546771072,DISCOVERY SILVER,CA2546771072,10.84,CAD,7.54,59.6,0.0,Seitwärts,0.0,0.0,85.0,47.0,Zyklus-neutral,11.07,100.0,0.0,152799680.0,7792443392.0,378971008.0,1.96,0.0,9.5,9.5,2.042,36.12,"[0.0, 22.14, 0.0, 53.01, 29.86]",15.485715,Edelmetalle ⛏️,11.36
CA2568277834,DOLLY VARDEN,CA2568277834,6.53,CAD,0.0,36.92,0.0,Seitwärts,0.0,0.0,69.6,33.7,Zyklus-neutral,-26.19,100.0,0.0,-20282864.0,565411840.0,1.0,-3.59,0.0,0.0,0.0,4.598,12.37,"[0.0, 0.0, 0.0, 66.33, 100.0]",-111.962166,Edelmetalle ⛏️,7.53
CA29258Y1034,ENDEAVOUR SILVER,CA29258Y1034,16.53,CAD,0.43,58.62,0.0,Seitwärts,0.0,0.0,78.9,31.4,Zyklus-neutral,-20.46,31.741,0.0,-69431752.0,4945538560.0,337136992.0,-1.4,167.3,-27.97,139.33,0.788,58.17,"[100.0, 0.0, 0.0, 68.62, 39.3]",12.35426,Edelmetalle ⛏️,18.71
CA29446Y5020,EQUINOX GOLD,CA29446Y5020,22.16,CAD,2.97,49.73,0.0,Seitwärts,0.0,0.0,72.7,67.9,Zyklus-neutral,1.41,34.774,0.0,247383744.0,18424088576.0,2296356096.0,1.34,91.2,2.71,93.91,1.074,62.16,"[100.0, 2.82, 0.0, 32.06, 28.45]",14.551166,Edelmetalle ⛏️,22.8
ETH-USD,ETHEREUM (KRYPTO),ETH-EUR,1635.51,EUR,-3.72,16.04,0.0,Seitwärts,0.0,0.0,15.2,35.3,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 64.69, 25.0]",0.0,Kryptowährungen 🪙,2990.28
FANUY,FANUC CORP.,FANUY,22.53,USD,1.62,25.93,0.0,Seitwärts,0.0,0.0,84.4,83.5,Zyklus-Hoch,9.37,100.0,153.0,0.0,-659248840704.0,835426975744.0,-0.0,9.5,19.35,28.85,6.859,0.26,"[19.0, 18.74, 0.0, 16.49, 5.06]",33.626865,Hardware 💻,20.6
CA32076V1031,FIRST MAJESTIC,CA32076V1031,32.15,CAD,-0.34,102.99,6.94,BUY,38.2,54.45,89.3,33.1,Zyklus-neutral,4.21,7.886,9.0,215490000.0,15916909568.0,965571008.0,1.35,95.1,7.07,102.17,3.379,53.41,"[100.0, 8.42, 0.0, 86.86, 22.36]",26.581234,Edelmetalle ⛏️,34.68
FSLR,FIRST SOLAR INC,FSLR,226.67,USD,0.19,59.82,0.0,Seitwärts,0.0,0.0,37.5,33.5,Zyklus-neutral,16.86,9.893,0.0,168763744.0,23129389056.0,5050625024.0,0.73,79.7,27.73,107.43,1.91,104.8,"[100.0, 33.72, 0.0, 66.52, 32.0]",9.746124,Energie,236.58
US34379V1035,FLUENCE ENER.,US34379V1035,17.86,USD,-5.95,-6.34,0.0,Seitwärts,0.0,0.0,50.7,0.0,Zyklus-Tief,-14.46,82.778,0.0,-98396624.0,2566774016.0,2551276032.0,-3.83,154.4,-2.04,152.36,1.483,77.46,"[100.0, 0.0, 0.0, 100.0, 0.0]",82.26245,Experimente,29.21
FCX,FREEPORT-MCMORAN,FCX,65.04,USD,2.82,48.35,0.0,Warten,0.0,0.0,96.8,54.8,Zyklus-neutral,13.95,33.768,95.0,1371124992.0,106995998720.0,25915000832.0,1.28,-1.5,8.51,7.01,2.291,86.25,"[0.0, 27.9, 0.0, 45.16, 13.67]",19.002281,Fundament,62.52
DE0005785802,FRESEN.MED.CARE,nan,11.56,USD,0.17,10.36,0.0,Seitwärts,0.0,0.0,61.8,96.6,Zyklus-Hoch,0.0,72.403,749.0,0.0,1.0,28795244.0,0.0,0.0,-80.39,-80.39,0.247,14.2,"[0.0, 0.0, 0.0, 3.37, 25.0]",0.0,Pharma & Gesundheit,37.13
GB00B2QPKJ12,FRESNILLO PLC,GB00B2QPKJ12,3928.0,GBp,3.37,47.41,0.0,Warten,0.0,0.0,91.3,32.7,Zyklus-neutral,13.85,20.456,92.0,1243160320.0,27399075840.0,3944284928.0,4.54,30.1,11.56,41.66,5.092,15.79,"[60.2, 27.7, 0.0, 67.31, 13.8]",15.774954,Edelmetalle ⛏️,4140.0
CA38171A2092,GOLIATH RES,CA38171A2092,1.5,EUR,0.0,-2.0,0.0,Datenmangel,0.0,0.0,0.0,50.0,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 50.0, 25.0]",0.0,Edelmetalle ⛏️,2.56
US4227041062,HECLA MNG,US4227041062,23.33,USD,1.52,46.17,0.0,Seitwärts,0.0,0.0,78.6,15.6,Zyklus-Tief,8.88,11.711,7.0,107837000.0,15551884288.0,1224562944.0,0.69,67.1,16.27,83.37,2.153,80.75,"[100.0, 17.76, 0.0, 84.45, 21.16]",21.909601,Edelmetalle ⛏️,28.27
US45337C1027,INCYTE DL,US45337C1027,98.95,USD,-1.1,52.86,0.0,Seitwärts,0.0,0.0,39.6,0.0,Zyklus-Tief,29.87,0.672,0.0,0.0,16208082944.0,5141241856.0,0.0,27.8,25.03,52.83,3.295,105.7,"[55.6, 59.74, 66.4, 100.0, 22.2]",11.208019,Pharma & Gesundheit,103.95
IFX.DE,INFINEON TECH.,IFX.DE,43.51,EUR,1.5,57.51,0.0,Seitwärts,0.0,0.0,78.8,49.8,Zyklus-neutral,5.71,41.673,82.0,1671250048.0,61230231552.0,14899999744.0,2.73,7.0,6.88,13.88,1.721,54.98,"[14.0, 11.42, 0.0, 50.16, 21.12]",19.194544,Gehirn,42.32
US4571871023,INGREDION INC,US4571871023,119.99,USD,1.07,57.86,0.0,Seitwärts,0.0,0.0,86.5,46.4,Zyklus-neutral,18.1,41.609,276.0,379000000.0,8264359936.0,7218999808.0,4.59,-2.4,10.1,7.7,2.663,97.48,"[0.0, 36.2, 0.0, 53.65, 22.17]",10.122446,Konsum & Lifestyle,116.93
US47215P1066,JD.COM ADR,US47215P1066,28.25,USD,-0.37,54.87,0.0,Seitwärts,0.0,0.0,39.0,38.5,Zyklus-neutral,11.72,36.821,353.0,-13451249664.0,68616331264.0,1303786946560.0,-19.6,14.9,2.47,17.37,1.198,15.39,"[29.8, 23.44, 0.0, 61.53, 43.21]",9.040599,E-Commerce,29.49
JP3236200006,KEYENCE CORP.,JP3236200006,56630.0,JPY,2.37,37.57,0.0,Seitwärts,0.0,0.0,54.3,38.5,Zyklus-neutral,0.0,100.0,97.0,0.0,12400190291968.0,1118560059392.0,0.0,0.0,0.0,0.0,13.552,35.37,"[0.0, 0.0, 0.0, 61.55, 21.55]",30.325748,Hardware 💻,58890.0
US5006311063,KOREA EL. PWR ADR 1/2,US5006311063,21.31,USD,1.96,55.03,0.0,Seitwärts,0.0,0.0,75.5,17.7,Zyklus-Tief,19.12,279.916,45.0,1394938609664.0,127486264344576.0,97275598602240.0,1.09,5.6,8.47,14.07,0.481,1.78,"[11.2, 38.24, 0.0, 82.33, 29.59]",3.43621,Energie,21.38
US54951L1098,LUCKIN COFFEE,US54951L1098,38.0,USD,2.43,64.35,0.0,Seitwärts,0.0,0.0,49.9,100.0,Zyklus-Hoch,27.39,41.484,0.0,6359557632.0,94941388800.0,46124539904.0,6.7,50.2,8.48,58.68,1.66,7.79,"[100.0, 54.78, 0.0, 0.0, 30.76]",16.717995,Konsum & Lifestyle,32.6
US5502411037,LUMEN TECHN.,US5502411037,8.09,USD,3.98,10.42,0.0,Seitwärts,0.0,0.0,52.3,59.1,Zyklus-neutral,0.0,100.0,0.0,-5826500096.0,24455852032.0,12401999872.0,-23.82,-8.7,-14.02,-22.72,1.802,69.77,"[0.0, 0.0, 0.0, 40.88, 36.84]",-29.202616,Medien & Digitales 📱,9.32
FR0000121014,LVMH EO,FR0000121014,525.1,EUR,-2.34,43.81,0.0,Seitwärts,0.0,0.0,17.7,38.9,Zyklus-neutral,16.24,53.342,242.0,11704625152.0,291645456384.0,80807002112.0,4.01,-4.7,13.46,8.76,1.584,18.4,"[0.0, 32.48, 0.0, 61.08, 26.61]",19.56057,Konsum & Lifestyle,589.3
CA5589221004,MAGMA SILVER,CA5589221004,0.32,CAD,-1.52,12.96,0.0,Seitwärts,0.0,0.0,74.8,20.7,Zyklus-neutral,-2465.46,100.0,0.0,-1205764.0,23695312.0,1.0,-5.09,0.0,0.0,0.0,4.323,0.0,"[0.0, 0.0, 0.0, 79.25, 25.0]",0.0,Edelmetalle ⛏️,0.36
US57636Q1040,MASTERCARD INC,US57636Q1040,540.07,USD,-0.06,55.91,0.0,Seitwärts,0.0,0.0,47.7,62.1,Zyklus-neutral,209.91,245.288,64.0,16265374720.0,491219648512.0,32790999040.0,3.31,17.6,45.65,63.25,1.035,91.31,"[35.2, 100.0, 0.0, 37.92, 24.33]",23.897293,Finanzen,521.34
MSFT,MICROSOFT DL,MSFT,404.99,USD,-2.0,66.1,0.0,Seitwärts,0.0,0.0,15.1,36.0,Zyklus-neutral,34.39,31.539,88.0,53640626176.0,3102605836288.0,305453006848.0,1.73,16.7,39.04,55.74,1.386,76.24,"[33.4, 68.78, 0.0, 64.03, 37.87]",21.470304,Gehirn,481.15
US66981J1025,MINISO GRP ADS,US66981J1025,19.67,USD,2.29,49.66,0.0,Seitwärts,0.0,0.0,32.2,85.3,Zyklus-Hoch,21.17,101.459,321.0,0.0,26843117568.0,19902461952.0,0.0,28.2,10.81,39.01,1.655,8.7,"[56.4, 42.34, 0.0, 14.75, 38.77]",11.904333,Konsum & Lifestyle,18.79
JP3902400005,MITSUBISHI EL.,JP3902400005,5814.0,JPY,1.06,25.84,0.09,BUY,5152.0,5863.86,89.1,100.0,Zyklus-Hoch,9.51,8.262,95.0,252386869248.0,11700824702976.0,5677370048512.0,2.16,4.9,6.59,11.49,1.988,49.55,"[9.8, 19.02, 0.0, 20.0, 0.0]",35.206493,Hardware 💻,4886.0
CH0038863350,NESTLE NAM.,CH0038863350,78.25,CHF,-0.85,45.06,0.0,Seitwärts,0.0,0.0,37.6,85.8,Zyklus-Hoch,33.76,225.855,386.0,5756874752.0,263371161600.0,90898997248.0,2.19,-1.8,11.34,9.54,0.714,45.53,"[0.0, 67.52, 0.0, 14.15, 21.81]",17.477245,Konsum & Lifestyle,72.85
US64110L1061,NETFLIX INC.,US64110L1061,79.89,USD,-2.83,48.97,0.0,Seitwärts,0.0,0.0,4.4,70.4,Zyklus-neutral,42.76,63.782,0.0,24817524736.0,355017424896.0,45183037440.0,6.99,17.6,24.3,41.9,1.186,85.82,"[35.2, 85.52, 0.0, 29.64, 34.29]",20.914936,Medien & Digitales 📱,85.7
AU0000297962,NEWMONT CORP.,AU0000297962,171.49,AUD,2.39,62.93,0.0,Seitwärts,0.0,0.0,74.0,43.9,Zyklus-neutral,22.88,16.914,88.0,9337749504.0,187009695744.0,21503000576.0,4.99,20.0,33.42,53.42,2.039,11.63,"[40.0, 45.76, 0.0, 56.08, 21.98]",13.116383,Edelmetalle ⛏️,180.94
US6541061031,NIKE INC. B,US6541061031,62.48,USD,-0.89,49.69,0.0,Seitwärts,0.0,0.0,47.2,58.1,Zyklus-neutral,17.95,80.099,260.0,2576624896.0,96260366336.0,46513000448.0,2.68,0.6,5.43,6.03,2.063,83.12,"[1.2, 35.9, 0.0, 41.94, 22.44]",26.999813,Konsum & Lifestyle,63.42
DK0062498333,NOVO-NORDISK,DK0062498333,306.7,DKK,-2.62,61.99,0.0,Seitwärts,0.0,0.0,43.3,27.9,Zyklus-neutral,60.7,67.488,505.0,376875008.0,1503633735680.0,309064007680.0,0.03,-7.6,33.14,25.54,0.8,32.25,"[0.0, 100.0, 0.0, 72.15, 30.46]",13.809967,Pharma & Gesundheit,393.95
NVDA,NVIDIA CORP.,NVDA,191.9,USD,1.78,72.43,0.0,Seitwärts,0.0,0.0,50.6,87.5,Zyklus-Hoch,107.36,9.102,2.0,53282873344.0,4531735756800.0,187141996544.0,1.18,62.5,53.01,115.51,4.468,69.69,"[100.0, 100.0, 0.0, 12.45, 28.7]",24.853777,Gehirn,186.47
US6745991058,OCCIDENTAL PET.,US6745991058,47.11,USD,1.83,24.97,0.88,BUY,46.95,51.24,69.7,87.6,Zyklus-Hoch,5.96,62.221,207.0,3033125120.0,75094687744.0,26601000960.0,4.04,-7.7,8.17,0.47,0.935,51.45,"[0.0, 11.92, 0.0, 32.43, 5.72]",42.699863,Energie,44.53
US6821891057,ON SEMICOND.,US6821891057,70.32,USD,4.36,77.04,1.26,BUY,66.86,79.21,90.5,100.0,Zyklus-Hoch,1.5,41.853,0.0,1559524992.0,27239403520.0,5995400192.0,5.73,-11.2,2.02,-9.18,4.522,112.57,"[0.0, 3.0, 0.0, 20.0, 14.59]",17.473455,Gehirn,63.03
US68622V1061,ORGANON + CO.,US68622V1061,7.77,USD,-0.51,47.84,0.0,Seitwärts,0.0,0.0,53.1,0.0,Zyklus-Tief,71.62,974.393,102.0,394000000.0,10186466304.0,6301000192.0,3.87,1.3,7.95,9.25,1.754,75.84,"[2.6, 100.0, 0.0, 100.0, 34.2]",2.0396752,Pharma & Gesundheit,8.98
PLTR,PALANTIR TECHN.,PLTR,135.73,USD,-2.71,46.95,0.0,Seitwärts,0.0,0.0,23.0,27.3,Zyklus-neutral,25.98,3.063,0.0,1260918400.0,326150029312.0,4475445760.0,0.39,70.0,36.31,106.31,7.11,60.81,"[100.0, 51.96, 0.0, 72.74, 7.52]",74.91499,Gehirn,167.47
CA6979001089,PAN AMER. SILVER,CA6979001089,80.96,CAD,0.68,56.31,0.0,Seitwärts,0.0,0.0,84.4,43.7,Zyklus-neutral,11.29,13.316,97.0,996537472.0,33913999360.0,3254799872.0,2.94,19.3,19.48,38.78,2.313,67.67,"[38.6, 22.58, 0.0, 56.29, 22.26]",16.158817,Edelmetalle ⛏️,87.0
US70450Y1038,PAYPAL HDGS,US70450Y1038,40.37,USD,-2.71,47.48,0.0,Seitwärts,0.0,0.0,11.0,27.7,Zyklus-neutral,25.73,60.703,135.0,3274249984.0,40072372224.0,33172000768.0,8.17,3.7,15.78,19.48,1.287,83.09,"[7.4, 51.46, 0.0, 72.27, 35.79]",6.9340024,Finanzen,55.47
FR0000120693,PERNOD RICARD,FR0000120693,83.24,EUR,0.22,51.97,0.0,Seitwärts,0.0,0.0,65.3,97.9,Zyklus-Hoch,10.14,77.61,566.0,1170000000.0,32680491008.0,10958999552.0,3.58,-4.5,14.84,10.34,1.916,57.3,"[0.0, 20.28, 0.0, 2.12, 27.19]",13.471414,Konsum & Lifestyle,72.92
CNE1000003W8,PETROCHINA CO.,CNE1000003W8,9.38,HKD,0.75,47.67,0.0,Seitwärts,0.0,0.0,63.5,70.8,Zyklus-neutral,10.21,20.439,552.0,37757001728.0,1975222796288.0,2849543028736.0,1.91,2.3,5.55,7.85,1.148,26.79,"[4.6, 20.42, 0.0, 29.16, 21.01]",9.886393,Energie,8.81
US7170811035,PFIZER INC.,US7170811035,27.61,USD,2.07,60.47,0.48,BUY,26.83,28.94,74.2,50.0,Zyklus-neutral,8.58,66.531,623.0,0.0,204229378048.0,62578999296.0,0.0,-1.2,12.42,11.22,1.0,67.84,"[0.0, 17.16, 0.0, 70.0, 21.74]",9.79149,Pharma & Gesundheit,26.43
US6934831099,POSCO HOL.ADR,US6934831099,65.16,USD,2.24,64.15,2.58,BUY,65.49,81.98,69.4,60.1,Zyklus-neutral,0.81,45.676,277.0,0.0,19552163332096.0,69095001161728.0,0.0,-5.4,0.95,-4.45,1.896,2.67,"[0.0, 1.62, 0.0, 59.94, 21.83]",12.939175,Fundament,63.17
US74767V1098,QUANTUMSCAPE A,US74767V1098,8.77,USD,-1.96,12.0,0.0,Seitwärts,0.0,0.0,18.2,57.0,Zyklus-neutral,-38.65,6.004,0.0,-116634872.0,4444975104.0,1.0,-2.62,0.0,0.0,0.0,21.138,33.59,"[0.0, 0.0, 0.0, 43.0, 37.84]",-12.952449,Experimente,10.12
US7594701077,RELIANCE INDS,US7594701077,64.8,USD,0.0,46.59,0.0,Seitwärts,0.0,0.0,37.4,100.0,Zyklus-Hoch,0.0,37.389,33.0,0.0,2996862451712.0,9252890476544.0,0.0,11.7,7.43,19.13,1.0,0.89,"[23.4, 0.0, 0.0, 0.0, 26.68]",16.744186,Experimente,60.3
ROK,ROCKWELL AU.,ROK,414.45,USD,0.45,36.14,0.0,Seitwärts,0.0,0.0,68.8,24.9,Zyklus-neutral,23.74,99.289,134.0,1025500032.0,49741873152.0,8566000128.0,2.06,11.9,11.56,23.46,1.156,87.17,"[23.8, 47.48, 0.0, 75.14, 11.48]",30.27598,Hardware 💻,420.36
US7960542030,SAMSUNG SDI,US7960542030,54.8,EUR,1.11,49.15,3.58,BUY,59.4,74.42,60.7,36.6,Zyklus-neutral,-2.59,46.177,40.0,0.0,9084264775680.0,13266999836672.0,0.0,2.8,-4.89,-2.09,0.892,0.05,"[5.6, 0.0, 0.0, 83.42, 25.0]",0.0,Energie,57.8
SAP.DE,SAP SE O.N.,SAP.DE,169.0,EUR,-5.21,57.17,0.0,Seitwärts,0.0,0.0,21.0,50.6,Zyklus-neutral,16.46,17.84,132.0,7799625216.0,206661484544.0,36800000000.0,3.77,3.3,19.91,23.21,1.174,40.18,"[6.6, 32.92, 0.0, 49.4, 39.95]",19.796644,Gehirn,195.54
DE000ENER6Y0,SIEMENS ENERGY,,11.49,USD,0.35,10.5,0.0,Seitwärts,0.0,0.0,62.5,86.5,Zyklus-Hoch,0.0,72.403,752.0,0.0,1.0,28795244.0,0.0,0.0,-80.39,-80.39,0.247,14.27,"[0.0, 0.0, 0.0, 13.54, 25.0]",,Energie,142.2
CA82831T1093,SILVER TIGER,CA82831T1093,0.98,CAD,-1.01,34.18,0.0,Seitwärts,0.0,0.0,70.9,9.4,Zyklus-Tief,-4.86,100.0,0.0,-4825026.0,488284608.0,1.0,-0.99,0.0,0.0,0.0,16.853,14.6,"[0.0, 0.0, 0.0, 90.62, 44.23]",35.0,Edelmetalle ⛏️,1.29
