active,symbol,name,isin,asset_type,category,sector,industry,country,currency,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags
1,ABBN.SW,ABB LTD. NA,CH0012221716,stock,Hardware 💻,Industrials,Electrical Equipment & Parts,Switzerland,CHF,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,AAGFF,AFTERMATH SILVER,CA00831V2057,stock,Edelmetalle ⛏️,Basic Materials,Other Industrial Metals & Mining,Canada,USD,Fundament,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,AEM,AGNICO EAGLE,CA0084741085,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,AGI.TO,ALAMOS GOLD,CA0115321089,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,ALB,ALBEMARLE CORP.,US0126531013,stock,Energie,Basic Materials,Specialty Chemicals,United States,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,ALV.DE,ALLIANZ SE,DE0008404005,stock,Finanzen,Financial Services,Insurance - Diversified,Germany,EUR,,none,,,
1,GOOGL,ALPHABET INC.A,US02079K3059,stock,Gehirn,Communication Services,Internet Content & Information,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,AMZN,AMAZON.COM,US0231351067,stock,E-Commerce,Consumer Cyclical,Internet Retail,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,ASML,ASML HOLDING,NL0010273215,stock,Gehirn,Technology,Semiconductor Equipment & Materials,Netherlands,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,NDA.DE,AURUBIS AG,DE0006766504,stock,Recycling,Industrials,Metal Fabrication,Germany,EUR,Recycling,pillar,,derived from legacy category,
1,AUTO.OL,AUTOSTORE HOLDINGS,BMG0670A1099,stock,Hardware 💻,Technology,Computer Hardware,Norway,NOK,Hardware,pillar,,derived from legacy category,
1,ASM.TO,AVINO SILVER,CA0539061030,stock,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,BTO.TO,B2GOLD CORP.,CA11777Q2099,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,ABX.TO,BARRICK MINING,CA06849F1080,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,BAYN.DE,BAYER AG,DE000BAY0017,stock,Pharma & Gesundheit,Healthcare,Drug Manufacturers - General,Germany,EUR,,none,,,
1,XYZ,BLOCK INC. A,US8522341036,stock,Fintech,Technology,Software - Infrastructure,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,CCJ,CAMECO CORP.,CA13321L1085,stock,Energie,Energy,Uranium,Canada,USD,Fundament,pillar,45,heuristic from official taxonomy,"grid, storage, electrification"
1,CPB,CAMPBELLS CO.,US1344291091,stock,Konsum & Lifestyle,Consumer Defensive,Packaged Foods,United States,USD,,concept2,,concept2 (Konsum) – derived from legacy category,
1,CNC,CENTENE CORP.,US15135B1017,stock,Pharma & Gesundheit,Healthcare,Healthcare Plans,United States,USD,,none,,,
1,CGNX,COGNEX CORP.,US1924221039,stock,Hardware 💻,Technology,Scientific & Technical Instruments,United States,USD,Hardware,pillar,,derived from legacy category,
1,COIN,COINBASE GLB.,US19260Q1076,stock,Krypto-Infrastruktur 🪙,Financial Services,Financial Data & Stock Exchanges,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,3750.HK,CONT.AMPEREX (CATL),CNE100006WS8,stock,Energie,Industrials,Electrical Equipment & Parts,China,HKD,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,DB1.DE,DEUTSCHE BANK,DE0005140008,stock,Finanzen,Financial Services,Financial Data & Stock Exchanges,Germany,EUR,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,DSV.TO,DISCOVERY SILVER,CA2546771072,stock,Edelmetalle ⛏️,Basic Materials,Silver,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,DV.V,DOLLY VARDEN,CA2568277834,stock,Edelmetalle ⛏️,Basic Materials,Silver,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,EDR.TO,ENDEAVOUR SILVER,CA29258Y1034,stock,Edelmetalle ⛏️,Basic Materials,Silver,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,EQX.TO,EQUINOX GOLD,CA29446Y5020,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,FANUY,FANUC CORP.,US3073051027,stock,Hardware 💻,Industrials,Specialty Industrial Machinery,Japan,USD,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,AG.TO,FIRST MAJESTIC,CA32076V1031,stock,Edelmetalle ⛏️,Basic Materials,Silver,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,FSLR,FIRST SOLAR INC,US3364331070,stock,Energie,Technology,Solar,United States,USD,Energie,pillar,45,heuristic from official taxonomy,"grid, storage, electrification"
1,FLNC,FLUENCE ENER.,US34379V1035,stock,Experimente,Utilities,Utilities - Renewable,United States,USD,Energie,pillar,45,heuristic from official taxonomy,"grid, storage, electrification"
1,FCX,FREEPORT-MCMORAN,US35671D8570,stock,Fundament,Basic Materials,Copper,United States,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,FME.DE,FRESEN.MED.CARE,DE0005785802,stock,Pharma & Gesundheit,Healthcare,Medical Care Facilities,Germany,EUR,,none,,,
1,FRES.L,FRESNILLO PLC,GB00B2QPKJ12,stock,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Mexico,GBp,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,GOT.V,GOLIATH RES,CA38171A2092,stock,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,HL,HECLA MNG,US4227041062,stock,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,United States,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,INCY,INCYTE DL,US45337C1027,stock,Pharma & Gesundheit,Healthcare,Biotechnology,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,IFX.DE,INFINEON TECH.,DE0006231004,stock,Gehirn,Technology,Semiconductors,Germany,EUR,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,INGR,INGREDION INC,US4571871023,stock,Konsum & Lifestyle,Consumer Defensive,Packaged Foods,United States,USD,,concept2,,concept2 (Konsum) – derived from legacy category,
1,JD,JD.COM ADR,US47215P1066,stock,E-Commerce,Consumer Cyclical,Internet Retail,China,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,6861.T,KEYENCE CORP.,JP3236200006,stock,Hardware 💻,Technology,Scientific & Technical Instruments,Japan,JPY,Hardware,pillar,,derived from legacy category,
1,KEP,KOREA EL. PWR ADR 1/2,US5006311063,stock,Energie,Utilities,Utilities - Regulated Electric,South Korea,USD,Energie,pillar,45,heuristic from official taxonomy,"grid, storage, electrification"
1,LC0A.MU,LUCKIN COFFEE,US54951L1098,stock,Konsum & Lifestyle,Consumer Cyclical,Restaurants,China,USD,,concept2,,concept2 (Konsum) – derived from legacy category,
1,LUMN,LUMEN TECHN.,US5502411037,stock,Medien & Digitales 📱,Communication Services,Telecom Services,United States,USD,,none,,,
1,MC.PA,LVMH EO,FR0000121014,stock,Konsum & Lifestyle,Consumer Cyclical,Luxury Goods,France,EUR,,concept2,,concept2 (Konsum) – derived from legacy category,
1,MGMA.V,MAGMA SILVER,CA5589221004,stock,Edelmetalle ⛏️,Basic Materials,Other Industrial Metals & Mining,Canada,CAD,Fundament,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,MA,MASTERCARD INC,US57636Q1040,stock,Finanzen,Financial Services,Credit Services,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,MSFT,MICROSOFT DL,US5949181045,stock,Gehirn,Technology,Software - Infrastructure,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,MNSO,MINISO GRP ADS,US66981J1025,stock,Konsum & Lifestyle,Consumer Cyclical,Specialty Retail,China,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,6503.T,MITSUBISHI EL.,JP3902400005,stock,Hardware 💻,Industrials,Electrical Equipment & Parts,Japan,JPY,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,NESN.SW,NESTLE NAM.,CH0038863350,stock,Konsum & Lifestyle,Consumer Defensive,Packaged Foods,Switzerland,,,concept2,,concept2 (Konsum) – derived from legacy category,
1,NFLX,NETFLIX INC.,US64110L1061,stock,Medien & Digitales 📱,Communication Services,Entertainment,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,NEM.AX,NEWMONT CORP.,AU0000297962,stock,Edelmetalle ⛏️,Basic Materials,Gold,United States,AUD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,NKE,NIKE INC. B,US6541061031,stock,Konsum & Lifestyle,Consumer Cyclical,Footwear & Accessories,United States,USD,,concept2,,concept2 (Konsum) – derived from legacy category,
1,NOVO-B.CO,NOVO-NORDISK,DK0062498333,stock,Pharma & Gesundheit,Healthcare,Drug Manufacturers - General,Denmark,DKK,,none,,,
1,NVDA,NVIDIA CORP.,US67066G1040,stock,Gehirn,Technology,Semiconductors,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,OXY,OCCIDENTAL PET.,US6745991058,stock,Energie,Energy,Oil & Gas E&P,United States,USD,Energie,pillar,,derived from legacy category,
1,ON,ON SEMICOND.,US6821891057,stock,Gehirn,Technology,Semiconductors,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,OGN,ORGANON + CO.,US68622V1061,stock,Pharma & Gesundheit,Healthcare,Drug Manufacturers - General,United States,USD,,none,,,
1,PLTR,PALANTIR TECHN.,US69608A1088,stock,Gehirn,Technology,Software - Infrastructure,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,PAAS.TO,PAN AMER. SILVER,CA6979001089,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,PYPL,PAYPAL HDGS,US70450Y1038,stock,Finanzen,Financial Services,Credit Services,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,RI.PA,PERNOD RICARD,FR0000120693,stock,Konsum & Lifestyle,Consumer Defensive,Beverages - Wineries & Distilleries,France,EUR,,concept2,,concept2 (Konsum) – derived from legacy category,
1,0857.HK,PETROCHINA CO.,CNE1000003W8,stock,Energie,Energy,Oil & Gas Integrated,China,HKD,Energie,pillar,,derived from legacy category,
1,PFE,PFIZER INC.,US7170811035,stock,Pharma & Gesundheit,Healthcare,Drug Manufacturers - General,United States,USD,,none,,,
1,PKX,POSCO HOL.ADR,US6934831099,stock,Fundament,Basic Materials,Steel,South Korea,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,QS,QUANTUMSCAPE A,US74767V1098,stock,Experimente,Consumer Cyclical,Auto Parts,United States,USD,Playground,playground,,derived from legacy category,
1,RIGD.IL,RELIANCE INDS,US7594701077,stock,Experimente,Energy,Oil & Gas Refining & Marketing,India,USD,Playground,playground,,derived from legacy category,
1,ROK,ROCKWELL AU.,US7739031091,stock,Hardware 💻,Industrials,Specialty Industrial Machinery,United States,USD,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,XSDG.F,SAMSUNG SDI,US7960542030,stock,Energie,Industrials,Electrical Equipment & Parts,South Korea,EUR,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,SAP.DE,SAP SE O.N.,DE0007164600,stock,Gehirn,Technology,Software - Application,Germany,EUR,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,ENR.DE,SIEMENS ENERGY,DE000ENER6Y0,stock,Energie,Industrials,Specialty Industrial Machinery,Germany,EUR,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,SLVR.V,SILVER TIGER,CA82831T1093,stock,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,SN.L,SMITH + NEP. DL,GB0009223206,stock,Hardware 💻,Healthcare,Medical Devices,United Kingdom,GBp,Hardware,pillar,,derived from legacy category,
1,SNOW,SNOWFLAKE INC. A,US8334451098,stock,Gehirn,Technology,Software - Application,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,SOLB.BR,SOLVAY S.A. A,BE0003470755,stock,Experimente,Basic Materials,Chemicals,Belgium,EUR,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,SPOT,SPOTIFY TECH.,LU1778762911,stock,Medien & Digitales 📱,Communication Services,Internet Content & Information,Sweden,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,TSMN.MX,TAIWAN SEMICON.MANU.ADR/5,US8740391003,stock,Gehirn,Technology,Semiconductors,Taiwan,MXN,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,TTK.DE,TAKKT AG,DE0007446007,stock,Medien & Digitales 📱,Industrials,Business Equipment & Supplies,Germany,EUR,,none,,,
1,0700.HK,TENCENT HLDGS,KYG875721634,stock,Gehirn,Communication Services,Internet Content & Information,China,HKD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,TER,TERADYNE INC.,US8807701029,stock,Hardware 💻,Technology,Semiconductor Equipment & Materials,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,9880.HK,UBTECH ROBOT.CORP.,CNE100006CQ4,stock,Hardware 💻,Industrials,Specialty Industrial Machinery,China,HKD,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,UMI.BR,UMICORE,BE0974320526,stock,Recycling,Industrials,Waste Management,Belgium,EUR,Recycling,pillar,50,heuristic from official taxonomy,"recycling, urban mining"
1,UAA,UNDER ARMOUR,US9043111072,stock,Konsum & Lifestyle,Consumer Cyclical,Apparel Manufacturing,United States,USD,,concept2,,concept2 (Konsum) – derived from legacy category,
1,UNH,UNITEDHEALTH,US91324P1021,stock,Pharma & Gesundheit,Healthcare,Healthcare Plans,United States,USD,,none,,,
1,VALE,VALE S.A.,BRVALEACNOR0,stock,Fundament,Basic Materials,Other Industrial Metals & Mining,Brazil,BRL,Fundament,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,VZLA.TO,VIZSLA SILVER,CA92859G6085,stock,Edelmetalle ⛏️,Basic Materials,Other Industrial Metals & Mining,Canada,CAD,Fundament,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,WPM.TO,WHEATON PREC.,CA9628791027,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,1810.HK,XIAOMI CORP. CL.B,KYG9830T1067,stock,Hardware 💻,Technology,Consumer Electronics,China,HKD,Hardware,pillar,,derived from legacy category,
1,YASKY,YASKAWA EL. CORP.,US9850871057,stock,Hardware 💻,Industrials,Electrical Equipment & Parts,Japan,USD,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,YCA.L,YELLOW CAKE PLC,JE00BF50RG45,stock,Energie,Energy,Uranium,Jersey,GBp,Fundament,pillar,45,heuristic from official taxonomy,"grid, storage, electrification"
1,ZETA,ZETA GLOBAL,US98956A1051,stock,Medien & Digitales 📱,Technology,Software - Infrastructure,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,2899.HK,ZIJIN MINING,CNE100000502,stock,Fundament,Basic Materials,Gold,China,HKD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,VOW3.DE,Volkswagen AG Vz.,DE0007664039,stock,Andere 🌐,Consumer Cyclical,Auto Manufacturers,Germany,EUR,,none,,,
1,DOGE-EUR,DOGECOIN (KRYPTO),,crypto,Krypto 🪙,Cryptocurrency,Digital Currency,Global,EUR,,none,,,
1,SOL-EUR,SOLANA (KRYPTO),,crypto,Krypto 🪙,Cryptocurrency,Digital Currency,Global,EUR,,none,,,
1,XRP-EUR,XRP (KRYPTO),,crypto,Krypto 🪙,Cryptocurrency,Digital Currency,Global,EUR,,none,,,
1,META,META PLATFORMS INC,US30303M1027,stock,Tech 💻,Communication Services,Internet Content & Information,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
